timestamp1,timestamp2,difference
1678995622163454000,1678995622164658000,1204000
1678995622163455000,1678995622164659000,1204000
1678995622163456000,1678995622164659000,1203000
1678995622163457000,1678995622164660000,1203000
1678995622163457000,1678995622164661000,1204000
1678995622163458000,1678995622164662000,1204000
1678995622163459000,1678995622164663000,1204000
1678995622163460000,1678995622164664000,1204000
1678995622163461000,1678995622164664000,1203000
1678995622163462000,1678995622164665000,1203000
1678995622163462000,1678995622164666000,1204000
1678995622163463000,1678995622164667000,1204000
1678995622163464000,1678995622164668000,1204000
1678995622163465000,1678995622164669000,1204000
1678995622163466000,1678995622164670000,1204000
1678995622163467000,1678995622164671000,1204000
1678995622163468000,1678995622164671000,1203000
1678995622163469000,1678995622164672000,1203000
1678995622163472000,1678995622164673000,1201000
1678995622163473000,1678995622164674000,1201000
1678995622163474000,1678995622164675000,1201000
1678995622163474000,1678995622164676000,1202000
1678995622163475000,1678995622164677000,1202000
1678995622163476000,1678995622164677000,1201000
1678995622163477000,1678995622164678000,1201000
1678995622163478000,1678995622164679000,1201000
1678995622163479000,1678995622164680000,1201000
1678995622163479000,1678995622164681000,1202000
1678995622163480000,1678995622164681000,1201000
1678995622163481000,1678995622164682000,1201000
1678995622163482000,1678995622164683000,1201000
1678995622163483000,1678995622164684000,1201000
1678995622163484000,1678995622164685000,1201000
1678995622163484000,1678995622164686000,1202000
1678995622163485000,1678995622164687000,1202000
1678995622163486000,1678995622164687000,1201000
1678995622163487000,1678995622164688000,1201000
1678995622163488000,1678995622164689000,1201000
1678995622163489000,1678995622164690000,1201000
1678995622163489000,1678995622164691000,1202000
1678995622163490000,1678995622164692000,1202000
1678995622163491000,1678995622164692000,1201000
1678995622163492000,1678995622164693000,1201000
1678995622163493000,1678995622164694000,1201000
1678995622163494000,1678995622164695000,1201000
1678995622163494000,1678995622164696000,1202000
1678995622163495000,1678995622164696000,1201000
1678995622163496000,1678995622164697000,1201000
1678995622163497000,1678995622164698000,1201000
1678995622163498000,1678995622164699000,1201000
1678995622163499000,1678995622164700000,1201000
1678995622163499000,1678995622164701000,1202000
1678995622163500000,1678995622164701000,1201000
1678995622163501000,1678995622164702000,1201000
1678995622163502000,1678995622164703000,1201000
1678995622163503000,1678995622164704000,1201000
1678995622163504000,1678995622164705000,1201000
1678995622163504000,1678995622164706000,1202000
1678995622163506000,1678995622164707000,1201000
1678995622163507000,1678995622164708000,1201000
1678995622163507000,1678995622164708000,1201000
1678995622163508000,1678995622164709000,1201000
1678995622163509000,1678995622164710000,1201000
1678995622163510000,1678995622164711000,1201000
1678995622163511000,1678995622164712000,1201000
1678995622163512000,1678995622164712000,1200000
1678995622163512000,1678995622164713000,1201000
1678995622163513000,1678995622164714000,1201000
1678995622163516000,1678995622164715000,1199000
1678995622163517000,1678995622164716000,1199000
1678995622163518000,1678995622164717000,1199000
1678995622163519000,1678995622164718000,1199000
1678995622163520000,1678995622164718000,1198000
1678995622163521000,1678995622164719000,1198000
1678995622163521000,1678995622164720000,1199000
1678995622163522000,1678995622164721000,1199000
1678995622163523000,1678995622164722000,1199000
1678995622163524000,1678995622164722000,1198000
1678995622163525000,1678995622164723000,1198000
1678995622163526000,1678995622164724000,1198000
1678995622163526000,1678995622164725000,1199000
1678995622163527000,1678995622164726000,1199000
1678995622163528000,1678995622164727000,1199000
1678995622163529000,1678995622164727000,1198000
1678995622163530000,1678995622164728000,1198000
1678995622163531000,1678995622164729000,1198000
1678995622163532000,1678995622164730000,1198000
1678995622163532000,1678995622164731000,1199000
1678995622163533000,1678995622164732000,1199000
1678995622163534000,1678995622164732000,1198000
1678995622163535000,1678995622164733000,1198000
1678995622163536000,1678995622164734000,1198000
1678995622163536000,1678995622164735000,1199000
1678995622163537000,1678995622164736000,1199000
1678995622163538000,1678995622164737000,1199000
1678995622163539000,1678995622164737000,1198000
1678995622163540000,1678995622164738000,1198000
1678995622163541000,1678995622164739000,1198000
1678995622163541000,1678995622164740000,1199000
1678995622163542000,1678995622164741000,1199000
1678995622163543000,1678995622164741000,1198000
1678995622163544000,1678995622164742000,1198000
1678995622163545000,1678995622164743000,1198000
1678995622163546000,1678995622164744000,1198000
1678995622163546000,1678995622164745000,1199000
1678995622163547000,1678995622164746000,1199000
1678995622163548000,1678995622164746000,1198000
1678995622163549000,1678995622164747000,1198000
1678995622163550000,1678995622164748000,1198000
1678995622163550000,1678995622164749000,1199000
1678995622163551000,1678995622164750000,1199000
1678995622163552000,1678995622164751000,1199000
1678995622163553000,1678995622164751000,1198000
1678995622163554000,1678995622164752000,1198000
1678995622163555000,1678995622164753000,1198000
1678995622163555000,1678995622164754000,1199000
